,year,description,period,current_country,country
0,202 BC,Liu Bang becomes emperor of the Han dynasty (posthumously known as Emperor Gaozu of Han),3rd century BC,China,Han
1,202 BC,Emperor Gaozu of Han moves the capital from Luoyang to Chang'an,3rd century BC,China,Han
2,201 BC,Battle of Baideng: Emperor Gaozu of Han's army is defeated by the Xiongnu,3rd century BC,China,Han
3,201 BC,"Xin, King of Han defects to the Xiongnu",3rd century BC,China,Han
4,197 BC,The Xiongnu invade Dai Commandery with the help of Chen Xi and Han Xin,2nd century BC,China,Han
5,196 BC,Emperor Gaozu of Han replaces nine of the ten Kings of the Han dynasty with his brothers and sons,2nd century BC,China,Han
6,196 BC,The Xiongnu invade Dai Commandery with the help of Han Xin,2nd century BC,China,Han
7,195 BC,Emperor Gaozu of Han dies and is succeeded by Liu Ying (posthumously Emperor Hui of Han),2nd century BC,China,Han
8,195 BC,The Xiongnu invade You Province with the help of Lu Wan,2nd century BC,China,Han
9,188 BC,Emperor Hui of Han dies and is succeeded by Liu Gong (posthumously Emperor Qianshao of Han),2nd century BC,China,Han
10,184 BC,Emperor Qianshao of Han dies and is succeeded by Liu Hong (posthumously Emperor Houshao of Han),2nd century BC,China,Han
11,182 BC,The Xiongnu invade Longxi Commandery and Tianshui,2nd century BC,China,Han
12,181 BC,Nanyue invades Changsha,2nd century BC,China,Han
13,181 BC,The Xiongnu invade Longxi Commandery,2nd century BC,China,Han
14,180 BC,Lü Clan Disturbance: Empress Lü dies and her clan is slaughtered,2nd century BC,China,Han
15,180 BC,Emperor Houshao of Han is deposed and succeeded by Liu Heng (posthumously Emperor Wen of Han),2nd century BC,China,Han
16,179 BC,Earliest archaeological evidence of paper,2nd century BC,China,Han
17,179 BC,The Xiongnu invade Yunzhong Commandery,2nd century BC,China,Han
18,177 BC,The Xiongnu invade Ordos,2nd century BC,China,Han
19,176 BC,"The kingdoms of Liang, Zhao, Qi, Dai, and Huainan are split up",2nd century BC,China,Han
20,169 BC,The Xiongnu raid Han,2nd century BC,China,Han
21,166 BC,"A 140,000 strong Xiongnu force invade near Chang'an",2nd century BC,China,Han
22,160 BC,A system of beacon and lookout stations is deployed,2nd century BC,China,Han
23,158 BC,"A 30,000 strong Xiongnu force attacks Yunzhong Commandery and Dai Commandery",2nd century BC,China,Han
24,157 BC,Emperor Wen of Han dies and is succeeded by Liu Qi (posthumously Emperor Jing of Han),2nd century BC,China,Han
25,154 BC,Rebellion of the Seven States: Liu Pi and six other kings rebel but are defeated,2nd century BC,China,Han
26,148 BC,The Xiongnu attack Yan Province,2nd century BC,China,Han
27,144 BC,The Xiongnu raid Yanmen Pass for horses,2nd century BC,China,Han
